dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
9e-06,tcp,-,REQ,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009000000000000001,0.0,0.0,0.0,45,0,0,0,11,8,1,1,10,0,0,0,9,10,0,Normal
0.029299000000000002,tcp,smtp,FIN,52,42,37268,3380,3174.169737,31,29,9980409.0,901054.625,18,8,0.567059,0.700854,0.000558,0.000166,717,80,0,0,2,6,1,1,1,0,0,0,2,2,0,Normal
0.358157,tcp,-,FIN,10,6,1612,268,41.881073,254,252,32410.367189999997,5003.39209,2,1,39.689667,57.040801,0.07294500000000001,0.040582,161,45,0,0,4,2,2,1,4,0,0,0,2,4,0,Normal
1.156575,tcp,-,FIN,14,12,774,642,21.615547,254,252,4973.305176,4074.0981450000004,4,3,87.65384399999999,96.484727,0.095238,0.053047000000000004,55,54,0,0,1,1,1,1,1,0,0,0,1,1,0,Normal
0.011269,tcp,-,FIN,36,38,2334,16290,6477.9481479999995,31,29,1611500.5,11260626.0,7,12,0.311743,0.28678400000000004,0.000648,0.000155,65,429,0,0,10,7,1,1,1,0,0,0,5,3,0,Normal
4.4363269999999995,tcp,-,FIN,14,12,774,642,5.635292,254,252,1296.568115,1062.139893,4,3,339.556683,399.860719,0.037857,0.077975,55,54,0,0,1,1,1,1,1,0,0,0,1,1,0,Normal
0.01549,tcp,-,FIN,44,46,2766,24004,5745.642299,31,29,1396513.875,12128083.0,7,16,0.352837,0.340864,0.000489,0.000133,63,522,0,0,1,2,1,1,1,0,0,0,1,12,0,Normal
0.00787,tcp,-,CON,19,16,1368,1232,4320.203383,32,29,1317407.875,1174078.75,5,5,0.437222,0.3736,0.001271,0.000567,72,77,0,0,3,5,1,1,1,0,0,0,2,10,0,Normal
0.50384,tcp,-,FIN,10,6,534,268,29.771354,254,252,7637.344727,3556.6845700000003,2,1,54.19866700000001,82.878203,0.08944099999999999,0.058183000000000006,53,45,0,0,6,5,5,1,6,0,0,0,5,6,0,Normal
0.520336,tcp,http,FIN,10,8,814,1236,32.671199,62,252,11269.6416,16635.40625,2,2,57.815111,53.000715,0.069083,0.048793,81,155,1,216,2,1,1,1,2,0,0,1,1,2,0,Normal
0.022817,tcp,-,FIN,46,46,2854,30518,3988.2542409999996,31,29,978919.1875,10467633.0,7,17,0.4996,0.49406700000000003,0.0005809999999999999,0.000267,62,663,0,0,2,3,1,1,1,0,0,0,9,2,0,Normal
0.021213,tcp,-,FIN,16,18,1540,1644,1555.64979,31,29,544571.6875,585678.5625,4,4,1.393667,1.220823,0.00045599999999999997,0.000121,96,91,0,0,18,8,6,1,7,0,0,0,10,10,0,Normal
1.7689700000000002,tcp,-,FIN,22,14,1470,1728,19.785525,31,29,6349.45752,7258.460937999999,5,4,84.23666999999999,136.012156,0.000674,0.00015800000000000002,67,123,0,0,2,5,1,1,1,0,0,0,1,10,0,Normal
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.7,0.0,0.0,0.0,46,0,0,0,1,1,1,1,1,0,0,0,1,1,1,Normal
