dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,hidden_label
9.45828,tcp,-,REQ,4,0,180,0,0.317182,254,0,114.185669,0.0,3,0,3152.76,0.0,0.0,0.0,45,0,0,0,37,32,2,2,35,0,0,0,33,35,0,2b79df9728f011db1fddbcacb76dcb6b
0.594568,tcp,-,FIN,34,10,34210,440,72.321415,254,252,446764.6875,5328.238281,14,1,16.556606,56.497668,0.08608500000000001,0.043779000000000005,1006,44,0,0,5,1,1,1,4,0,0,0,1,4,0,bb3b74b15b0f06dfdf7d3bed281a2c8b
9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,52,0,0,0,14,4,5,2,11,0,0,0,5,11,0,1fe8847703e6216b4eb3b23181f7361c
2.566744,tcp,ssh,FIN,70,60,12472,12716,50.258224,31,29,38317.80469,38975.44922,17,17,37.199188,43.490779,0.000647,0.000164,178,212,0,0,1,1,1,1,1,0,0,0,1,1,0,3aed734f121e6767c11756b2aeb8c58d
0.004799,udp,-,CON,4,4,568,304,1458.6372199999996,31,29,710147.9375,380079.1875,0,0,1.309667,1.086333,0.0,0.0,142,76,0,0,4,2,1,1,2,0,0,0,3,11,0,3a32eaede85012e97b9937e3a567f2ef
0.972743,tcp,-,FIN,10,8,866,354,17.476353,254,252,6414.849609000001,2549.491455,2,1,99.443222,129.43414099999998,0.066701,0.064742,87,44,0,0,2,1,1,1,1,0,0,0,2,4,0,a7b32393684fdbc4c647a01c24eb4c91
1.785684,tcp,ftp,FIN,14,12,2740,682,14.000238,254,252,11401.79297,2804.527588,4,4,137.360308,147.55273400000004,0.161928,0.11426300000000003,196,57,0,0,1,1,1,1,1,0,0,0,1,1,0,7ea3d5843b7a01326ecae955a55ee71d
0.707306,tcp,-,FIN,10,6,794,268,21.207228,254,252,8087.022948999998,2533.556885,2,1,78.490778,128.656,0.06401699999999999,0.038482,79,45,0,0,3,2,1,1,2,0,0,0,1,3,0,72b7692ce9d51eeeff08b01ce3c29cae
0.001029,udp,dns,CON,2,2,146,178,2915.451794,31,29,567541.3125,691933.875,0,0,0.011,0.006999999999999999,0.0,0.0,73,89,0,0,2,4,2,1,1,0,0,0,5,4,0,da20ee89d6d3f3786fd34a6474a22394
3.261588,tcp,-,FIN,10,8,796,354,5.212185,254,252,1758.652466,760.365784,2,1,354.986222,447.581,0.128511,0.129164,80,44,0,0,2,1,1,1,1,0,0,0,1,1,0,ecc876f588db497f7562fb67d3ba93d4
0.710286,tcp,-,FIN,10,8,534,354,23.93402,254,252,5417.535645,3491.5512700000004,2,1,76.603111,88.32443,0.092008,0.099794,53,44,0,0,3,1,1,1,3,0,0,0,1,5,0,639893b16e7fb0a5c479911168527102
1.255062,tcp,http,FIN,14,18,1684,10168,24.699975,31,29,9969.228516,61217.69531,3,5,96.514075,73.796118,0.000522,0.000151,120,565,1,3924,1,5,1,1,1,0,0,1,1,3,0,1be5b69bbe4a1f914df451869a33d7a4
1.412714,tcp,-,FIN,32,18,28970,936,34.68501,254,252,158928.1406,5005.967285,13,4,45.571421,80.60288299999998,0.041744,0.047842,905,52,0,0,4,1,1,1,4,0,0,0,1,4,0,ce3ad33eb4965c1a1dd61647f7f227fa
0.022976,tcp,-,FIN,38,36,2438,16186,3177.228431,31,29,826601.6875,5479457.0,7,12,0.612432,0.641829,0.000505,0.00014,64,450,0,0,6,3,1,1,1,0,0,0,2,4,0,f9317fb8ec1db5fe439cf8342a048afe
0.054687,tcp,-,FIN,72,74,4238,63878,2651.452774,31,29,611479.875,9218278.0,7,30,0.7650279999999999,0.740973,0.000586,0.000126,59,863,0,0,7,5,1,1,1,0,0,0,3,4,0,38621ebf7a458f77d635c0ebbf7d083d
0.279848,tcp,smtp,FIN,52,42,37196,3380,332.32325,31,29,1042880.375,94336.92188,18,8,5.480176,6.813488,0.00049,0.00013000000000000002,715,80,0,0,2,3,1,1,2,0,0,0,5,3,0,0b98494300cd9fcaaea8e9984dd340fe
0.038725,tcp,-,FIN,48,46,2958,30518,2401.549394,31,29,598476.4375,6167592.0,7,17,0.816979,0.8484219999999999,0.000541,0.000144,62,663,0,0,8,1,1,1,1,0,0,0,4,5,0,af1cbb9f5ea0148bc9efd9866bb48201
1.20214,tcp,-,FIN,10,8,924,354,14.141448,254,252,5536.792969,2062.987793,2,1,133.571111,153.457281,0.090216,0.090981,92,44,0,0,3,2,1,1,3,0,0,0,2,4,0,73444d5d7d7d096e64fd7b70d953ca74
0.032979,tcp,-,FIN,72,74,4238,63878,4396.737270000001,31,29,1013978.563,15286091.0,7,30,0.459465,0.449208,0.0006259999999999999,0.000165,59,863,0,0,2,2,1,1,1,0,0,0,4,3,0,cb1e83f954c9fe11a28b1466d7316f43
0.085989,tcp,-,FIN,60,62,3598,46036,1407.156755,31,29,329251.4375,4213934.5,7,24,1.451915,1.39959,0.000604,0.000167,60,743,0,0,3,5,1,1,1,0,0,0,3,10,0,6998ea5531053961d9f4e857054cbe24
0.618091,tcp,-,FIN,10,6,534,268,24.268272,254,252,6225.620605,2899.249512000001,2,1,66.647444,95.884602,0.138666,0.126234,53,45,0,0,3,2,2,1,3,0,0,0,2,3,0,116eea89e69bc3d6bd8b9c0bb494cc65
0.409089,tcp,http,FIN,10,8,802,1170,41.55575,62,252,14119.17676,20024.98242,2,2,45.454333,48.54043,0.054391,0.03404,80,146,1,178,6,4,4,4,6,0,0,16,4,6,0,9aeea3e6e69b7c7c40be372be6c2498d
0.001152,udp,dns,CON,2,2,146,178,2604.166575,31,29,506944.4375,618055.5625,0,0,0.011,0.009000000000000001,0.0,0.0,73,89,0,0,3,1,2,1,1,0,0,0,2,1,0,1be0fc3c32f04e17f4601ec0936ccea8
0.533395,tcp,-,FIN,10,6,650,268,28.121749,254,252,8773.985352,3359.611572,2,1,59.161667,97.049,0.048144,0.056333,65,45,0,0,5,2,1,1,5,0,0,0,1,6,0,3b2e9640ac9e6981b1f7813e7dbb9cc5
0.001034,udp,dns,CON,2,2,132,164,2901.354085,31,29,510638.3125,634429.4375,0,0,0.01,0.009000000000000001,0.0,0.0,66,82,0,0,5,5,1,1,1,0,0,0,6,4,0,7e2f156bcce3bc6e03ec725a8a99086a
0.00182,udp,-,CON,4,4,520,304,3846.153836,31,29,1714285.75,1002197.813,0,0,0.467,0.231667,0.0,0.0,130,76,0,0,5,4,1,1,3,0,0,0,5,6,0,ff956be97ac297a0f242a37c7f15cc16
0.8624940000000001,tcp,ftp,FIN,52,54,2934,3742,121.739978,31,29,26694.67773,34068.64453,11,15,16.904588,16.263302,0.000534,0.000134,56,69,0,0,1,4,1,1,4,1,1,0,15,1,0,943979c88f3df388db2cab9d31aa9dc9
8e-06,tcp,-,REQ,2,0,90,0,125000.0003,254,0,45000000.0,0.0,1,0,0.008,0.0,0.0,0.0,45,0,0,0,5,1,1,1,5,0,0,0,1,5,0,847d89bf0b5927c0dff8b42a00017739
0.009947,tcp,-,FIN,34,36,2230,13288,6936.764804,31,29,1741228.5,10390268.0,7,11,0.292333,0.26468600000000003,0.000672,0.000127,66,369,0,0,3,2,1,1,1,0,0,0,2,5,0,43dd416cc6a8fbbb364ab8c13d5a241d
0.83135,tcp,-,FIN,12,10,1006,794,25.260118,254,252,8881.938477,6880.375,3,2,73.378366,83.202109,0.082521,0.058742,84,79,0,0,2,1,1,1,2,0,0,0,1,2,0,098e7850cbeb208585dbb85120a64fa8
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.86,0.0,0.0,0.0,46,0,0,0,1,1,1,1,1,0,0,0,1,1,1,cd99e240367a74a2ff9f49f3bd174abd
0.001081,udp,dns,CON,2,2,146,178,2775.208228,31,29,540240.5625,658649.4375,0,0,0.011,0.008,0.0,0.0,73,89,0,0,5,2,1,1,1,0,0,0,1,4,0,a2e113ae4173d2f73b6574229f0f79b5
1.124814,tcp,http,FIN,12,18,1580,10168,25.78204,31,29,10305.70313,68306.40625,3,5,102.221543,66.133,0.000549,0.000151,132,565,1,3924,3,6,2,1,2,0,0,1,2,6,0,f4c91e0d0998f8616b126909fc5211ba
1.073718,tcp,http,FIN,12,18,1580,10168,27.008955,31,29,10796.13086,71556.96875,3,5,97.577636,63.129473,0.000513,0.000134,132,565,1,3924,4,3,2,1,1,0,0,1,14,1,0,89c9d82c2733f2c9913fc937840ea9d7
0.843578,tcp,ftp,FIN,52,54,2934,3742,124.469821,31,29,27293.26758,34832.58203,11,15,16.534373000000002,15.906887,0.000508,0.00013700000000000002,56,69,0,0,1,3,1,1,2,1,1,0,3,1,0,f1fe76649b69394df303000ef7c39f85
0.005318,tcp,-,FIN,24,20,2158,1918,8085.74655,31,29,3112448.25,2742384.25,6,5,0.231217,0.240684,0.0005780000000000001,0.000152,90,96,0,0,9,5,1,1,1,0,0,0,7,12,0,c4291ef6052d759bc4d6c0bd0f8318e9
1.17989,tcp,http,FIN,14,18,1684,10168,26.273635,31,29,10604.37793,65117.93359,3,5,90.733151,69.373118,0.00054,0.000154,120,565,1,3924,2,4,1,1,1,0,0,1,4,2,0,0091f930cfbcfceba28acfdc721e337a
0.579268,tcp,http,FIN,10,8,806,1108,29.347384,62,252,10026.44727,13396.21777,2,2,64.363111,67.404859,0.106801,0.167822,81,139,1,147,4,1,1,1,4,0,0,1,1,4,0,8e19b1d5bd2ba2d8de6ae2bd1c82372b
0.918613,tcp,http,FIN,10,10,828,1210,20.683356,62,252,6496.7509770000015,9483.863281,2,2,102.068111,89.46821899999998,0.097756,0.06338099999999999,83,121,1,155,6,2,2,1,6,0,0,1,2,6,0,9e951778549d9230dda383f424e6b007
2e-06,udp,-,INT,2,0,104,0,500000.0013,254,0,208000000.0,0.0,0,0,0.002,0.0,0.0,0.0,52,0,0,0,4,1,1,1,2,0,0,0,2,2,0,db82212e297bbbd9b061bdcd5f175d38
9e-06,tcp,-,REQ,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009000000000000001,0.0,0.0,0.0,45,0,0,0,16,2,1,1,9,0,0,0,7,9,0,0905823fe0ac0ecdcf096530aac15f68
0.427962,tcp,-,FIN,10,6,618,268,35.04984,254,252,10412.13965,4187.287598,2,1,47.551333,65.112199,0.101283,0.035741,62,45,0,0,7,2,2,1,7,0,0,0,2,7,0,af956331c0fde73c8bf3af0322b9177f
0.00625,tcp,-,FIN,22,24,1920,4312,7199.999893000001,31,29,2346240.0,5290240.0,6,6,0.28081,0.244565,0.0006129999999999999,0.000136,87,180,0,0,8,5,1,1,1,0,0,0,6,2,0,318eb79ee750b8bf033019bf4282e345
1.058891,tcp,http,FIN,14,18,1684,10168,29.275911,31,29,11816.13574,72558.92969,3,5,81.425002,62.260941,0.000451,0.000136,120,565,1,3924,2,2,1,1,1,0,0,1,1,1,0,beac4eadb2d688663aabcae0fb1e26b5
0.005783,tcp,http,FIN,8,10,1040,824,2939.650685,31,29,1258862.125,1026456.875,2,2,0.774429,0.467,0.001575,0.00016,130,82,1,83,3,2,1,1,1,0,0,1,8,4,0,e2dc336359261dfdd796432acadde18f
2.232337,tcp,-,FIN,10,8,860,354,7.615338,254,252,2773.774658,1110.943359,2,1,244.613556,305.262719,0.095496,0.078527,86,44,0,0,2,1,1,1,1,0,0,0,1,1,0,6bf9e63316542cba64388903255e4cf3
0.271929,tcp,-,FIN,26,26,4296,2872,187.548959,31,29,121531.7266,81256.50781,7,7,10.86452,10.85556,0.000536,0.0015140000000000002,165,110,0,0,6,1,1,1,1,0,0,0,2,10,0,cb4002025a8c0ce0ba0c4d24fee353ca
0.019241,tcp,-,FIN,16,18,1540,1644,1715.08761,31,29,600384.625,645704.5,4,4,1.262,1.104529,0.000461,0.000121,96,91,0,0,6,9,6,1,6,0,0,0,8,15,0,e1df3a22dbdb3623cf94220269f63a9e
1.046104,tcp,http,FIN,10,8,840,1334,16.250775,62,252,5781.4521479999985,8932.19043,2,2,116.233778,130.48357,0.132044,0.10199,84,167,1,246,2,1,1,1,1,0,0,1,1,1,0,e1b0244b35d2a74f8aa1f2bb48343fcc
0.777866,tcp,-,FIN,122,126,7808,15182,317.535409,31,29,79643.53906,154905.8594,30,32,6.425768,6.21856,0.000542,0.000136,64,120,0,0,5,3,2,1,1,0,0,0,5,6,0,cdcebb3fb43f366b40c482d0e160be57
0.681359,tcp,-,CON,6,2,998,86,10.273586,62,252,9768.711914,504.873352,2,1,136.2718,0.004,0.179438,0.210904,166,43,0,0,3,1,1,1,2,0,0,0,1,2,0,e26a5d5759adce682f9eb4c1ba031fcf
0.001043,udp,-,CON,2,2,146,178,2876.3182420000007,31,29,559923.3125,682646.1875,0,0,0.002,0.005,0.0,0.0,73,89,0,0,7,2,2,1,1,0,0,0,3,10,0,e72bc4cec93d6e4a5b58bdae212ab7bd
0.553286,tcp,-,FIN,10,6,490,268,27.110752,254,252,6376.44873,3238.831299,2,1,59.875111,93.666398,0.084945,0.071018,49,45,0,0,5,2,1,1,5,0,0,0,1,5,0,bf7228b3872326fab94226acfecf5580
0.001227,udp,dns,CON,2,2,130,162,2444.987716,31,29,423797.875,528117.375,0,0,0.01,0.008,0.0,0.0,65,81,0,0,1,6,1,1,1,0,0,0,2,4,0,4315b17d50442106f9c7322e54328bd9
0.804389,tcp,-,FIN,10,8,534,354,21.134053,254,252,4783.754883,3083.085449,2,1,86.205444,100.51157,0.100804,0.104261,53,44,0,0,3,2,2,1,2,0,0,0,2,2,0,cd255dd0edfee548650bcf15ec1917fd
0.020164,tcp,-,FIN,16,18,1540,1644,1636.580054,31,29,572902.1875,616147.5625,4,4,1.3236,1.158647,0.000461,0.000122,96,91,0,0,16,8,6,1,6,0,0,0,9,18,0,00f0c80b2fc2bb93b1a37374fb2f747e
15.590977,tcp,-,REQ,20,0,900,0,1.218654,254,0,438.715302,0.0,19,0,820.57775,0.0,0.0,0.0,45,0,0,0,17,9,3,3,14,0,0,0,10,15,0,0e9e5b21ff4cd5da3e452c2cf06a73c2
9e-06,tcp,-,REQ,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009000000000000001,0.0,0.0,0.0,45,0,0,0,11,4,1,1,10,0,0,0,4,10,0,18be50a9a10623582186514bcf89d88b
13.042525,tcp,-,FIN,376,701,21212,890032,82.499361,31,29,12976.62793,545147.8125,32,317,34.779061,18.631307,0.000609,0.000182,56,1270,0,0,9,3,1,1,1,0,0,0,3,8,0,4a84fa371d634b0ea27fd2d1e61c8c49
1.397104,tcp,-,FIN,10,8,910,354,12.168027,254,252,4689.700684,1775.100464,2,1,155.126667,189.157859,0.072995,0.064444,91,44,0,0,9,3,1,1,9,0,0,0,3,11,0,41e4a58f677255a68740b9b07a7b767c
10.558953,tcp,-,REQ,6,0,270,0,0.473532,254,0,170.471436,0.0,5,0,2639.73825,0.0,0.0,0.0,45,0,0,0,28,10,2,2,27,0,0,0,10,27,0,8ebb36bd1ffa999fe9eb7dc73f690c79
0.6013569999999999,tcp,-,FIN,10,8,664,354,28.269398,254,252,7955.341309,4124.006348,2,1,62.18233299999999,75.874859,0.070225,0.035676,66,44,0,0,3,13,1,1,3,0,0,0,1,3,0,17a0a2df7d38a4e1528f67f76ce196e6
8.232217,tcp,-,REQ,12,0,540,0,1.336214,254,0,481.036896,0.0,11,0,748.383375,0.0,0.0,0.0,45,0,0,0,18,11,2,2,18,0,0,0,11,17,0,d4efd58b57db3de1ff034eb393a55b65
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.728,0.0,0.0,0.0,46,0,0,0,1,1,1,1,1,0,0,0,1,1,1,30233cba4f2cd43de0334af8597c9c2b
0.049025,tcp,ftp-data,FIN,10,12,528,8824,428.352889,31,29,77674.65625,1319979.625,1,4,5.412667,4.408818,0.000525,0.000134,53,735,0,0,3,6,1,1,4,0,0,0,13,3,0,5089206bef404203bb4faeb529eb1cee
1.342746,tcp,-,FIN,18,12,6162,642,21.597532,254,252,34675.21094,3509.226562,5,2,6092.910168,9137.938,0.053055999999999985,0.043527,342,54,0,0,6,2,2,2,6,0,0,0,4,5,0,d301e716870020f6364437ba84fa5930
0.8898280000000001,tcp,-,FIN,10,8,1612,354,19.104815,254,252,13045.21777,2787.05542,2,1,98.869778,120.55571100000002,0.045283,0.050523,161,44,0,0,7,1,1,1,7,0,0,0,1,8,0,3b5fb8ee1886f2a2c6de3870f45bd36c
1.056353,tcp,-,FIN,20,8,17286,354,25.559638,254,252,124367.5234,2347.700195,7,1,53.304792000000006,136.557719,0.100444,0.107407,864,44,0,0,2,1,1,1,2,0,0,0,13,2,0,0c215843f09021b7ed1bfc12a3c3e288
0.032935,tcp,-,FIN,60,62,3598,46036,3673.903036,31,29,859632.5625,11002034.0,7,24,0.552763,0.529459,0.0006259999999999999,0.000154,60,743,0,0,5,4,1,1,1,0,0,0,1,5,0,1742c7950fede5e066c9ce6464486d2f
0.064183,tcp,-,FIN,46,48,2854,30622,1448.981891,31,29,348004.9375,3737438.5,7,17,1.419178,1.353787,0.000551,0.00015800000000000002,62,638,0,0,11,1,1,1,1,0,0,0,4,5,0,7a6848aae6b1693deae871a7bac063e6
0.510794,tcp,-,FIN,10,6,534,268,29.366047,254,252,7533.369629000002,3508.263672,2,1,54.00833299999999,71.559203,0.15299100000000002,0.067938,53,45,0,0,5,2,2,1,4,0,0,0,2,4,0,e836486423743ef401d315d324edaa43
9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,52,0,0,0,3,2,1,1,3,0,0,0,1,5,0,346537e48fa9ff888ef51ce94cb73839
0.8564299999999999,tcp,http,FIN,10,10,822,1158,22.185117,62,252,6912.415526999999,9742.769531,2,2,95.046444,82.879336,0.11051099999999997,0.060437,82,116,1,134,2,1,1,1,2,0,0,1,1,2,0,a9fc765cb745005368ddebb2acf58a7a
1.004717,tcp,http,FIN,12,18,1580,10168,28.863849,31,29,11537.57715,76471.28906,3,5,91.308182,59.070236,0.000518,0.000134,132,565,1,3924,3,9,2,1,1,0,0,1,2,1,0,9da5ce36d2ad2cdb88cf479df1cb25bf
0.004479,tcp,-,FIN,22,14,1470,1728,7814.2444620000015,31,29,2507702.75,2866711.5,5,4,0.213286,0.289154,0.0005740000000000001,0.000136,67,123,0,0,10,2,1,1,1,0,0,0,1,9,0,7a31b7bc5de64023542bf1cc74f40145
0.8890969999999999,tcp,-,FIN,32,14,26274,728,50.613152,254,252,229023.3906,6082.576172,13,3,27.578677000000006,64.977,0.044388,0.051255,821,52,0,0,4,1,1,1,4,0,0,0,1,4,0,ad3ee16fc7c35ad3cede6d8d83cc5093
0.001007,udp,dns,CON,2,2,130,162,2979.146024,31,29,516385.3125,643495.5625,0,0,0.01,0.009000000000000001,0.0,0.0,65,81,0,0,6,7,3,1,4,0,0,0,12,3,0,b81f461f0f19cad4513bbeee22db877e
0.453287,tcp,-,CON,6,2,998,86,15.442754999999998,62,252,14683.85352,758.901062,2,1,90.6574,0.006999999999999999,0.164482,0.208369,166,43,0,0,4,2,2,1,4,0,0,0,3,4,0,f74748611c79e98e3fea6e0b6d5ab2c5
0.021547,tcp,-,FIN,16,18,1540,1644,1531.535652,31,29,536130.3125,576599.9375,4,4,1.414867,1.240059,0.000462,0.000124,96,91,0,0,7,3,3,1,3,0,0,0,3,5,0,07e9dc9a6d1a2014223bb50bbfbb6061
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.728,0.0,0.0,0.0,46,0,0,0,1,1,1,1,1,0,0,0,1,1,1,f2bbe6cf16a07b1e92e606b5c6ed3d2b
0.00103,udp,dns,CON,2,2,130,162,2912.6212370000007,31,29,504854.3438,629126.1875,0,0,0.011,0.003,0.0,0.0,65,81,0,0,2,2,1,1,1,0,0,0,2,3,0,6dda03870b9c96dc2678ed933bca128c
0.000998,udp,dns,CON,2,2,146,178,3006.011927,31,29,585170.3125,713426.8125,0,0,0.008,0.006,0.0,0.0,73,89,0,0,4,3,3,1,1,0,0,0,6,3,0,73d99fc36f1e62c4490142d66bbd5d0e
0.011309,tcp,-,FIN,38,40,2438,20718,6808.736566,31,29,1679370.5,14290212.0,7,13,0.295649,0.275077,0.000571,0.000134,64,518,0,0,13,2,1,1,1,0,0,0,3,4,0,ba04df70744ac1752c6f54b4bf9290db
0.02388,tcp,-,FIN,60,62,3614,49342,5067.001825,31,29,1190619.75,16263652.0,7,24,0.399288,0.382393,0.000543,0.000138,60,796,0,0,7,4,1,1,1,0,0,0,3,9,0,d8ca71f29dff139e241fa4ee8777cc48
1.37646,tcp,-,FIN,10,8,534,354,12.350523,254,252,2795.577148,1801.723267,2,1,152.836444,176.202281,0.143041,0.090482,53,44,0,0,3,1,1,1,1,0,0,0,2,2,0,42fdc6f1fa8a5c77d9d2ed65bd4af0c3
0.004625,udp,-,CON,4,4,568,304,1513.513494,31,29,736864.875,394378.375,0,0,1.237667,1.0490000000000002,0.0,0.0,142,76,0,0,3,4,1,1,3,0,0,0,4,5,0,5ca27934f72b2b74423c10d7734d4bce
0.077945,tcp,-,FIN,36,38,2334,16290,936.557812,31,29,232984.7969,1628019.75,7,12,2.217486,2.090378,0.000591,0.000143,65,429,0,0,7,3,1,1,2,0,0,0,2,6,0,d9a9b915951f696646cbd639ecb342f2
